TF,Setup,RR,Feature,Bucket,Trades,WinRate,Thr_Lo,Thr_Hi
4h,8.2,2.0,slope_strength,High25,18,0.3888888888888889,339.4687499999891,
4h,8.2,2.0,bars_since_new_high,Low25,28,0.39285714285714285,,1.0
4h,8.2,2.0,bars_since_new_high,High25,18,0.2222222222222222,3.75,
4h,8.2,2.0,pullback_from_new_high_pct,Low25,18,0.3333333333333333,,1.4635712817097857
4h,8.2,2.0,pullback_from_new_high_pct,High25,18,0.16666666666666666,2.656453233683533,
4h,8.2,2.0,dist_to_sma80_pct,Low25,18,0.5555555555555556,,2.111571553099233
4h,8.2,2.0,dist_to_sma80_pct,High25,18,0.3333333333333333,6.03581537883925,
4h,8.2,2.0,atr_pct,Low25,18,0.3888888888888889,,1.0122362201024888
4h,8.2,2.0,atr_pct,High25,18,0.3888888888888889,1.6632138736277595,
4h,8.2,2.0,clv,Low25,18,0.2777777777777778,,0.17978092227708528
4h,8.2,2.0,clv,High25,18,0.2777777777777778,0.3668893058674342,
4h,8.2,2.0,lower_wick_pct,Low25,18,0.2777777777777778,,17.97809222770853
4h,8.2,2.0,lower_wick_pct,High25,18,0.2777777777777778,36.68893058674342,
4h,8.2,2.0,pos_in_range_n,Low25,18,0.16666666666666666,,0.6363546943806019
4h,8.2,2.0,pos_in_range_n,High25,18,0.5,0.8041282818232107,
4h,8.2,2.0,ret_5_pct,Low25,18,0.2777777777777778,,0.27409225837444207
4h,8.2,2.0,ret_5_pct,High25,18,0.3888888888888889,1.768839630641178,
4h,8.2,2.0,vol_z,Low25,18,0.2222222222222222,,-0.8565009169882392
4h,8.2,2.0,vol_z,High25,18,0.3888888888888889,0.5891534485893128,
4h,8.3,2.0,ALL,ALL,158,0.2721518987341772,,
4h,8.3,2.0,slope_strength,Low25,40,0.1,,85.84999999999764
4h,8.3,2.0,slope_strength,High25,40,0.25,307.518749999992,
4h,8.3,2.0,bars_since_new_high,Low25,44,0.36363636363636365,,1.0
4h,8.3,2.0,bars_since_new_high,High25,42,0.2619047619047619,4.0,
4h,8.3,2.0,pullback_from_new_high_pct,Low25,40,0.25,,0.8297097934705714
4h,8.3,2.0,pullback_from_new_high_pct,High25,40,0.25,1.787810820456977,
4h,8.3,2.0,dist_to_sma80_pct,Low25,40,0.325,,2.347869113763567
4h,8.3,2.0,dist_to_sma80_pct,High25,40,0.35,7.118233835606042,
4h,8.3,2.0,atr_pct,Low25,40,0.225,,1.0509867223180152
4h,8.3,2.0,atr_pct,High25,40,0.35,1.554766051928311,
4h,8.3,2.0,clv,Low25,40,0.2,,0.32255005502262635
4h,8.3,2.0,clv,High25,40,0.325,0.7386833602983808,
4h,8.3,2.0,lower_wick_pct,Low25,40,0.175,,19.848476401818417
4h,8.3,2.0,lower_wick_pct,High25,40,0.325,56.312414587979816,
4h,8.3,2.0,pos_in_range_n,Low25,40,0.25,,0.7250116103899327
4h,8.3,2.0,pos_in_range_n,High25,40,0.3,0.8696623086276782,
4h,8.3,2.0,ret_5_pct,Low25,40,0.325,,0.5210597048846743
4h,8.3,2.0,ret_5_pct,High25,40,0.225,2.1183214728346336,
4h,8.3,2.0,vol_z,Low25,40,0.25,,-0.9561908253974393
4h,8.3,2.0,vol_z,High25,40,0.25,-0.20540957449075672,
4h,DL,2.0,ALL,ALL,53,0.22641509433962265,,
4h,DL,2.0,slope_strength,Low25,14,0.14285714285714285,,101.60000000000582
4h,DL,2.0,slope_strength,High25,14,0.2857142857142857,335.3625000000102,
4h,DL,2.0,bars_since_new_high,Low25,29,0.20689655172413793,,2.0
4h,DL,2.0,bars_since_new_high,High25,19,0.2631578947368421,4.0,
4h,DL,2.0,pullback_from_new_high_pct,Low25,14,0.42857142857142855,,1.1290664887972564
4h,DL,2.0,pullback_from_new_high_pct,High25,14,0.14285714285714285,2.1198639099712118,
4h,DL,2.0,dist_to_sma80_pct,Low25,14,0.35714285714285715,,2.354154552243599
4h,DL,2.0,dist_to_sma80_pct,High25,14,0.14285714285714285,6.73413255082819,
4h,DL,2.0,atr_pct,Low25,14,0.42857142857142855,,0.9336171686531163
4h,DL,2.0,atr_pct,High25,14,0.14285714285714285,1.5115622678880913,
4h,DL,2.0,clv,Low25,14,0.14285714285714285,,0.31633153506620665
4h,DL,2.0,clv,High25,14,0.35714285714285715,0.5529393173198492,
4h,DL,2.0,lower_wick_pct,Low25,14,0.14285714285714285,,31.633153506620665
4h,DL,2.0,lower_wick_pct,High25,14,0.35714285714285715,55.29393173198493,
4h,DL,2.0,pos_in_range_n,Low25,14,0.14285714285714285,,0.6820440795159909
4h,DL,2.0,pos_in_range_n,High25,14,0.2857142857142857,0.8097440103303261,
4h,DL,2.0,ret_5_pct,Low25,14,0.21428571428571427,,0.22097301249970336
4h,DL,2.0,ret_5_pct,High25,14,0.21428571428571427,1.3880775050685301,
4h,DL,2.0,vol_z,Low25,14,0.35714285714285715,,-0.7361860750956181
4h,DL,2.0,vol_z,High25,14,0.21428571428571427,0.7840913785245789,
4h,PFR,2.0,ALL,ALL,78,0.3717948717948718,,
4h,PFR,2.0,slope_strength,Low25,20,0.35,,68.828125
4h,PFR,2.0,slope_strength,High25,20,0.25,269.5937500000109,
4h,PFR,2.0,bars_since_new_high,Low25,28,0.2857142857142857,,2.0
4h,PFR,2.0,bars_since_new_high,High25,21,0.3333333333333333,8.0,
4h,PFR,2.0,pullback_from_new_high_pct,Low25,20,0.45,,0.6124113305878296
4h,PFR,2.0,pullback_from_new_high_pct,High25,20,0.4,1.7874851490807018,
4h,PFR,2.0,dist_to_sma80_pct,Low25,20,0.55,,2.1302839579470594
4h,PFR,2.0,dist_to_sma80_pct,High25,20,0.4,6.437122529841357,
4h,PFR,2.0,atr_pct,Low25,20,0.4,,0.917748446316418
4h,PFR,2.0,atr_pct,High25,20,0.45,1.4763307327571409,
4h,PFR,2.0,clv,Low25,20,0.45,,0.7630791387178204
4h,PFR,2.0,clv,High25,20,0.25,0.9334306405746976,
4h,PFR,2.0,lower_wick_pct,Low25,20,0.25,,29.636066669557298
4h,PFR,2.0,lower_wick_pct,High25,20,0.35,57.93684107323729,
4h,PFR,2.0,pos_in_range_n,Low25,20,0.35,,0.7296477520315481
4h,PFR,2.0,pos_in_range_n,High25,20,0.35,0.8906557066849471,
4h,PFR,2.0,ret_5_pct,Low25,20,0.35,,0.17714222309708205
4h,PFR,2.0,ret_5_pct,High25,20,0.25,1.5691111975320193,
4h,PFR,2.0,vol_z,Low25,20,0.45,,-0.6600953637822309
4h,PFR,2.0,vol_z,High25,20,0.4,1.1797331294163302,
