TF,Setup,RR,Feature,Bucket,Trades,WinRate,Thr_Lo,Thr_Hi
2h,8.3,1.0,pullback_from_new_high_pct,High25,83,0.46987951807228917,1.4901562443419412,
2h,8.3,1.0,dist_to_sma80_pct,Low25,83,0.43373493975903615,,1.6492669945981973
2h,8.3,1.0,dist_to_sma80_pct,High25,83,0.3614457831325301,4.936173749793239,
2h,8.3,1.0,atr_pct,Low25,83,0.39759036144578314,,0.7029130015104171
2h,8.3,1.0,atr_pct,High25,83,0.42168674698795183,1.1633093584215337,
2h,8.3,1.0,clv,Low25,83,0.3614457831325301,,0.30858215338456807
2h,8.3,1.0,clv,High25,83,0.4578313253012048,0.7198470030623766,
2h,8.3,1.0,lower_wick_pct,Low25,83,0.5060240963855421,,18.393274633630817
2h,8.3,1.0,lower_wick_pct,High25,83,0.4457831325301205,52.3188674863231,
2h,8.3,1.0,pos_in_range_n,Low25,83,0.4578313253012048,,0.6951453268356688
2h,8.3,1.0,pos_in_range_n,High25,83,0.4457831325301205,0.8468431324706951,
2h,8.3,1.0,ret_5_pct,Low25,83,0.3132530120481928,,0.26658421455368897
2h,8.3,1.0,ret_5_pct,High25,83,0.43373493975903615,1.4619855842889773,
2h,8.3,1.0,vol_z,Low25,83,0.3493975903614458,,-0.7945491936904346
2h,8.3,1.0,vol_z,High25,83,0.43373493975903615,0.09755447308959928,
2h,DL,1.0,ALL,ALL,91,0.38461538461538464,,
2h,DL,1.0,slope_strength,Low25,23,0.43478260869565216,,57.16250000000218
2h,DL,1.0,slope_strength,High25,23,0.391304347826087,226.29375000000073,
2h,DL,1.0,bars_since_new_high,Low25,26,0.46153846153846156,,1.0
2h,DL,1.0,bars_since_new_high,High25,44,0.4318181818181818,3.0,
2h,DL,1.0,pullback_from_new_high_pct,Low25,23,0.5217391304347826,,0.8729468186142035
2h,DL,1.0,pullback_from_new_high_pct,High25,23,0.34782608695652173,1.4081302204489323,
2h,DL,1.0,dist_to_sma80_pct,Low25,23,0.391304347826087,,1.6033802212666304
2h,DL,1.0,dist_to_sma80_pct,High25,23,0.30434782608695654,4.670207910712663,
2h,DL,1.0,atr_pct,Low25,23,0.43478260869565216,,0.7304263928834723
2h,DL,1.0,atr_pct,High25,23,0.391304347826087,1.1397585492952795,
2h,DL,1.0,clv,Low25,23,0.34782608695652173,,0.3198665485653849
2h,DL,1.0,clv,High25,23,0.391304347826087,0.649732160009551,
2h,DL,1.0,lower_wick_pct,Low25,23,0.34782608695652173,,31.986654856538486
2h,DL,1.0,lower_wick_pct,High25,23,0.391304347826087,64.97321600095509,
2h,DL,1.0,pos_in_range_n,Low25,23,0.5217391304347826,,0.6984911284728287
2h,DL,1.0,pos_in_range_n,High25,23,0.391304347826087,0.830361301883868,
2h,DL,1.0,ret_5_pct,Low25,23,0.21739130434782608,,0.20027781852330895
2h,DL,1.0,ret_5_pct,High25,23,0.5217391304347826,1.0509140586447807,
2h,DL,1.0,vol_z,Low25,23,0.30434782608695654,,-0.7835945502372966
2h,DL,1.0,vol_z,High25,23,0.5652173913043478,0.25767891434242324,
2h,PFR,1.0,ALL,ALL,141,0.5460992907801419,,
