Config,TF,Setup,Trades,WR 1.0,AvgR 1.0,WR 1.5,AvgR 1.5,WR 2.0,AvgR 2.0
stretch,4h,PFR,34,52.9%,0.06,47.1%,0.18,35.3%,0.06
timeexit,1d,8.2,8,25.0%,-0.50,25.0%,-0.38,25.0%,-0.25
timeexit,1d,8.3,9,33.3%,-0.33,33.3%,-0.17,33.3%,0.00
timeexit,1d,DL,3,0.0%,-1.00,0.0%,-1.00,0.0%,-1.00
timeexit,1d,PFR,8,50.0%,0.00,50.0%,0.25,50.0%,0.50
timeexit,1h,8.2,209,42.6%,-0.15,34.9%,-0.12,31.1%,-0.06
timeexit,1h,8.3,422,47.6%,-0.04,37.9%,-0.04,33.9%,0.03
timeexit,1h,DL,87,43.7%,-0.13,35.6%,-0.10,28.7%,-0.13
timeexit,1h,PFR,177,49.2%,-0.02,36.7%,-0.06,30.5%,-0.05
timeexit,2h,8.2,81,43.2%,-0.14,37.0%,-0.07,33.3%,0.00
timeexit,2h,8.3,244,43.0%,-0.14,34.4%,-0.13,30.3%,-0.07
timeexit,2h,DL,47,31.9%,-0.36,25.5%,-0.36,23.4%,-0.30
timeexit,2h,PFR,80,60.0%,0.21,51.2%,0.34,42.5%,0.36
timeexit,4h,8.2,52,38.5%,-0.23,36.5%,-0.09,34.6%,0.04
timeexit,4h,8.3,113,38.1%,-0.24,33.6%,-0.16,31.0%,-0.07
timeexit,4h,DL,25,36.0%,-0.28,28.0%,-0.30,28.0%,-0.16
timeexit,4h,PFR,50,56.0%,0.12,48.0%,0.23,38.0%,0.17
