ts,open,high,low,close,volume
2023-07-23 04:00:00+00:00,1868.39,1878.6,1868.39,1874.24,3860064.0
2023-07-23 08:00:00+00:00,1874.24,1877.61,1872.67,1873.88,1553929.0
2023-07-23 12:00:00+00:00,1873.88,1875.3,1871.02,1873.24,2359532.0
2023-07-23 16:00:00+00:00,1873.24,1904.56,1873.24,1888.36,8751170.0
2023-07-23 20:00:00+00:00,1888.36,1892.99,1874.08,1887.86,4510057.0
2023-07-24 00:00:00+00:00,1887.86,1890.24,1864.85,1867.36,4685294.0
2023-07-24 04:00:00+00:00,1867.36,1876.87,1861.55,1874.17,3169881.0
2023-07-24 08:00:00+00:00,1874.17,1874.2,1829.47,1852.19,9208005.0
2023-07-24 12:00:00+00:00,1852.19,1853.9,1833.51,1842.4,8861611.0
2023-07-24 16:00:00+00:00,1842.4,1850.66,1838.13,1848.66,5247300.0
2023-07-24 20:00:00+00:00,1848.66,1851.11,1844.51,1849.03,2048635.0
2023-07-25 00:00:00+00:00,1849.03,1855.99,1844.5,1850.29,2950353.0
2023-07-25 04:00:00+00:00,1850.29,1853.0,1845.63,1849.89,2146958.0
2023-07-25 08:00:00+00:00,1849.89,1862.8,1848.55,1852.84,3985614.0
2023-07-25 12:00:00+00:00,1852.84,1868.54,1851.42,1856.87,6867532.0
2023-07-25 16:00:00+00:00,1856.87,1865.52,1851.82,1856.38,4899244.0
2023-07-25 20:00:00+00:00,1856.38,1864.19,1855.44,1856.91,3103926.0
2023-07-26 00:00:00+00:00,1856.91,1866.49,1851.0,1857.81,4149082.0
2023-07-26 04:00:00+00:00,1857.81,1860.35,1851.11,1852.39,2548852.0
2023-07-26 08:00:00+00:00,1852.39,1855.24,1847.37,1850.37,2142285.0
2023-07-26 12:00:00+00:00,1850.37,1860.74,1849.42,1859.88,3436390.0
2023-07-26 16:00:00+00:00,1859.88,1883.34,1854.35,1872.66,10280478.0
2023-07-26 20:00:00+00:00,1872.66,1887.46,1865.55,1870.98,7889095.0
2023-07-27 00:00:00+00:00,1870.98,1878.3,1866.1,1875.12,3091839.0
2023-07-27 04:00:00+00:00,1875.12,1881.29,1865.35,1871.09,3385326.0
2023-07-27 08:00:00+00:00,1871.09,1885.47,1868.47,1876.0,4212466.0
2023-07-27 12:00:00+00:00,1876.0,1877.85,1863.0,1867.72,7213053.0
2023-07-27 16:00:00+00:00,1867.72,1868.54,1854.13,1859.94,5346901.0
2023-07-27 20:00:00+00:00,1859.94,1861.46,1854.06,1860.29,2852965.0
2023-07-28 00:00:00+00:00,1860.29,1864.34,1859.11,1862.01,3110535.0
2023-07-28 04:00:00+00:00,1862.01,1864.07,1855.79,1858.54,3621060.0
2023-07-28 08:00:00+00:00,1858.54,1868.31,1858.14,1865.76,4539728.0
2023-07-28 12:00:00+00:00,1865.76,1883.09,1865.76,1874.71,8226581.0
2023-07-28 16:00:00+00:00,1874.71,1878.99,1865.15,1873.41,4437607.0
2023-07-28 20:00:00+00:00,1873.41,1877.02,1871.8,1873.38,2400732.0
2023-07-29 00:00:00+00:00,1873.38,1876.58,1872.04,1872.52,2976383.0
2023-07-29 04:00:00+00:00,1872.52,1876.37,1870.5,1871.39,1927115.0
2023-07-29 08:00:00+00:00,1871.39,1873.0,1868.53,1869.77,2402469.0
2023-07-29 12:00:00+00:00,1869.77,1875.5,1869.45,1871.85,2495385.0
2023-07-29 16:00:00+00:00,1871.85,1878.86,1870.47,1877.45,4281924.0
2023-07-29 20:00:00+00:00,1877.45,1886.19,1877.45,1879.86,3002680.0
2023-07-30 00:00:00+00:00,1879.86,1880.88,1876.38,1877.27,1946645.0
2023-07-30 04:00:00+00:00,1877.27,1878.68,1872.7,1874.18,2234610.0
2023-07-30 08:00:00+00:00,1874.18,1876.29,1871.57,1875.11,3156743.0
2023-07-30 12:00:00+00:00,1875.11,1884.87,1870.21,1875.26,4471321.0
2023-07-30 16:00:00+00:00,1875.26,1878.25,1856.68,1861.3,6130517.0
2023-07-30 20:00:00+00:00,1861.3,1865.42,1846.88,1860.76,9123186.0
2023-07-31 00:00:00+00:00,1860.76,1876.67,1860.0,1868.35,5148432.0
2023-07-31 04:00:00+00:00,1868.35,1869.13,1861.66,1864.21,3054046.0
2023-07-31 08:00:00+00:00,1864.21,1869.44,1863.6,1867.06,1860399.0
2023-07-31 12:00:00+00:00,1867.06,1872.57,1855.66,1856.35,7867385.0
2023-07-31 16:00:00+00:00,1856.35,1862.32,1853.43,1855.68,5187475.0
2023-07-31 20:00:00+00:00,1855.68,1859.82,1850.14,1855.39,5266481.0
2023-08-01 00:00:00+00:00,1855.39,1863.95,1810.0,1825.65,8274760.0
2023-08-01 04:00:00+00:00,1825.65,1835.36,1820.41,1833.19,4428149.0
2023-08-01 08:00:00+00:00,1833.19,1836.5,1829.5,1830.02,3130483.0
2023-08-01 12:00:00+00:00,1830.02,1835.99,1811.99,1834.24,10933600.0
2023-08-01 16:00:00+00:00,1834.24,1857.04,1828.71,1850.51,10298802.0
2023-08-01 20:00:00+00:00,1850.51,1875.5,1846.22,1872.96,6791028.0
2023-08-02 00:00:00+00:00,1872.96,1879.14,1862.22,1862.64,7520807.0
2023-08-02 04:00:00+00:00,1862.64,1864.54,1855.5,1856.3,3640985.0
2023-08-02 08:00:00+00:00,1856.3,1860.38,1852.96,1859.18,3123350.0
2023-08-02 12:00:00+00:00,1859.18,1860.44,1833.53,1841.81,7728642.0
2023-08-02 16:00:00+00:00,1841.81,1847.0,1820.4,1841.37,9228705.0
2023-08-02 20:00:00+00:00,1841.37,1844.9,1836.86,1839.11,5350048.0
2023-08-03 00:00:00+00:00,1839.11,1845.48,1836.61,1839.99,4517091.0
2023-08-03 04:00:00+00:00,1839.99,1840.4,1830.9,1831.5,4870539.0
2023-08-03 08:00:00+00:00,1831.5,1838.45,1825.22,1837.12,5087952.0
2023-08-03 12:00:00+00:00,1837.12,1849.58,1833.16,1839.64,8003694.0
2023-08-03 16:00:00+00:00,1839.64,1858.89,1838.61,1845.08,8270906.0
2023-08-03 20:00:00+00:00,1845.08,1853.23,1830.4,1834.7,11435845.0
2023-08-04 00:00:00+00:00,1834.7,1838.51,1827.41,1833.49,5538319.0
2023-08-04 04:00:00+00:00,1833.49,1837.4,1830.44,1836.78,2972043.0
2023-08-04 08:00:00+00:00,1836.78,1840.28,1832.37,1833.82,3594298.0
2023-08-04 12:00:00+00:00,1833.82,1850.8,1830.54,1846.59,13906429.0
2023-08-04 16:00:00+00:00,1846.59,1848.01,1825.81,1830.49,7682642.0
2023-08-04 20:00:00+00:00,1830.49,1833.34,1808.97,1829.4,6451926.0
2023-08-05 00:00:00+00:00,1829.4,1832.8,1826.7,1831.78,2689427.0
2023-08-05 04:00:00+00:00,1831.78,1833.56,1827.88,1830.3,1694961.0
2023-08-05 08:00:00+00:00,1830.3,1834.68,1829.35,1831.93,1985115.0
2023-08-05 12:00:00+00:00,1831.93,1836.72,1829.62,1833.37,3779302.0
2023-08-05 16:00:00+00:00,1833.37,1838.61,1830.35,1834.75,3211126.0
2023-08-05 20:00:00+00:00,1834.75,1837.87,1833.32,1835.5,1858331.0
2023-08-06 00:00:00+00:00,1835.5,1838.39,1832.5,1834.14,1880379.0
2023-08-06 04:00:00+00:00,1834.14,1836.05,1831.25,1834.14,2324666.0
2023-08-06 08:00:00+00:00,1834.14,1837.2,1827.33,1831.58,2373319.0
2023-08-06 12:00:00+00:00,1831.58,1832.23,1825.0,1828.41,3155095.0
2023-08-06 16:00:00+00:00,1828.41,1835.48,1827.66,1831.26,2197447.0
2023-08-06 20:00:00+00:00,1831.26,1837.46,1826.93,1829.39,3034599.0
2023-08-07 00:00:00+00:00,1829.39,1846.77,1825.33,1837.9,5531807.0
2023-08-07 04:00:00+00:00,1837.9,1841.66,1831.17,1836.18,3521465.0
2023-08-07 08:00:00+00:00,1836.18,1836.88,1831.84,1833.56,1790787.0
2023-08-07 12:00:00+00:00,1833.56,1836.91,1812.2,1817.51,10447239.0
2023-08-07 16:00:00+00:00,1817.51,1831.0,1800.06,1824.67,14441357.0
2023-08-07 20:00:00+00:00,1824.67,1830.31,1822.38,1828.17,4840456.0
2023-08-08 00:00:00+00:00,1828.17,1835.0,1825.35,1829.34,3987987.0
2023-08-08 04:00:00+00:00,1829.34,1838.73,1829.04,1829.8,3385246.0
2023-08-08 08:00:00+00:00,1829.8,1838.57,1829.12,1838.39,3444416.0
2023-08-08 12:00:00+00:00,1838.39,1848.47,1834.53,1842.49,10582124.0
2023-08-08 16:00:00+00:00,1842.49,1871.16,1842.3,1858.31,10069329.0
2023-08-08 20:00:00+00:00,1858.31,1877.98,1854.13,1855.37,5900335.0
2023-08-09 00:00:00+00:00,1855.37,1860.0,1851.06,1854.1,2912601.0
2023-08-09 04:00:00+00:00,1854.1,1862.34,1852.6,1860.71,2493018.0
2023-08-09 08:00:00+00:00,1860.71,1865.9,1857.26,1862.27,2812012.0
2023-08-09 12:00:00+00:00,1862.27,1871.1,1850.23,1852.21,8578923.0
2023-08-09 16:00:00+00:00,1852.21,1854.64,1845.4,1847.67,5783491.0
2023-08-09 20:00:00+00:00,1847.67,1858.07,1846.46,1854.7,3615878.0
2023-08-10 00:00:00+00:00,1854.7,1857.33,1851.53,1852.3,1555064.0
2023-08-10 04:00:00+00:00,1852.3,1855.0,1849.01,1850.42,1887622.0
2023-08-10 08:00:00+00:00,1850.42,1854.17,1849.15,1850.11,1579493.0
2023-08-10 12:00:00+00:00,1850.11,1865.34,1847.19,1853.17,9680297.0
2023-08-10 16:00:00+00:00,1853.17,1853.68,1844.97,1848.99,4677147.0
2023-08-10 20:00:00+00:00,1848.99,1852.42,1848.1,1851.45,1530462.0
2023-08-11 00:00:00+00:00,1851.45,1854.06,1841.74,1845.99,3375501.0
2023-08-11 04:00:00+00:00,1845.99,1850.25,1845.66,1848.22,1662674.0
2023-08-11 08:00:00+00:00,1848.22,1851.0,1844.81,1850.8,2996588.0
2023-08-11 12:00:00+00:00,1850.8,1857.07,1842.84,1845.04,14281715.0
2023-08-11 16:00:00+00:00,1845.04,1847.99,1835.71,1843.91,5749856.0
2023-08-11 20:00:00+00:00,1843.91,1851.01,1843.0,1848.04,1814581.0
2023-08-12 00:00:00+00:00,1848.04,1853.02,1846.76,1847.24,2795172.0
2023-08-12 04:00:00+00:00,1847.24,1850.58,1846.04,1849.76,1673769.0
2023-08-12 08:00:00+00:00,1849.76,1850.81,1847.85,1850.27,1345861.0
2023-08-12 12:00:00+00:00,1850.27,1852.76,1849.4,1850.13,2613893.0
2023-08-12 16:00:00+00:00,1850.13,1852.0,1846.36,1846.89,3074740.0
2023-08-12 20:00:00+00:00,1846.89,1849.34,1845.35,1849.15,1438196.0
2023-08-13 00:00:00+00:00,1849.15,1850.8,1848.11,1848.94,986853.0
2023-08-13 04:00:00+00:00,1848.94,1848.94,1845.86,1848.87,1400186.0
2023-08-13 08:00:00+00:00,1848.87,1850.63,1848.11,1848.92,1227774.0
2023-08-13 12:00:00+00:00,1848.92,1851.4,1846.62,1847.35,1931940.0
2023-08-13 16:00:00+00:00,1847.35,1861.83,1845.16,1858.18,4924335.0
2023-08-13 20:00:00+00:00,1858.18,1859.73,1833.72,1840.1,7187733.0
2023-08-14 00:00:00+00:00,1840.1,1847.87,1834.28,1845.97,7788498.0
2023-08-14 04:00:00+00:00,1845.97,1851.66,1845.97,1848.9,2691948.0
2023-08-14 08:00:00+00:00,1848.9,1851.6,1845.46,1847.49,2926305.0
2023-08-14 12:00:00+00:00,1847.49,1855.8,1843.34,1852.68,6689951.0
2023-08-14 16:00:00+00:00,1852.68,1854.89,1838.8,1841.99,5717373.0
2023-08-14 20:00:00+00:00,1841.99,1845.93,1840.55,1844.8,1673962.0
2023-08-15 00:00:00+00:00,1844.8,1846.75,1842.64,1844.06,1938247.0
2023-08-15 04:00:00+00:00,1844.06,1844.07,1839.85,1843.0,2268279.0
2023-08-15 08:00:00+00:00,1843.0,1844.58,1837.29,1839.59,2490248.0
2023-08-15 12:00:00+00:00,1839.59,1845.55,1837.08,1839.52,6178368.0
2023-08-15 16:00:00+00:00,1839.52,1841.97,1811.34,1826.9,14180621.0
2023-08-15 20:00:00+00:00,1826.9,1831.44,1824.0,1828.28,3402191.0
2023-08-16 00:00:00+00:00,1828.28,1830.87,1826.93,1828.01,2065401.0
2023-08-16 04:00:00+00:00,1828.01,1828.28,1819.26,1826.4,3296042.0
2023-08-16 08:00:00+00:00,1826.4,1827.21,1819.02,1824.59,3822902.0
2023-08-16 12:00:00+00:00,1824.59,1827.89,1818.2,1819.91,5937987.0
2023-08-16 16:00:00+00:00,1819.91,1828.86,1815.32,1820.2,8145360.0
2023-08-16 20:00:00+00:00,1820.2,1822.4,1791.88,1807.19,11530269.0
2023-08-17 00:00:00+00:00,1807.19,1809.66,1775.89,1797.73,9098337.0
2023-08-17 04:00:00+00:00,1797.73,1802.69,1796.36,1799.3,1676576.0
2023-08-17 08:00:00+00:00,1799.3,1799.56,1783.25,1787.36,5180534.0
2023-08-17 12:00:00+00:00,1787.36,1792.36,1721.7,1738.36,18330457.0
2023-08-17 16:00:00+00:00,1738.36,1748.2,1722.31,1737.37,16931092.0
2023-08-17 20:00:00+00:00,1737.37,1738.79,1493.87,1681.0,42572905.0
2023-08-18 00:00:00+00:00,1681.0,1698.86,1672.26,1676.4,9543744.0
2023-08-18 04:00:00+00:00,1676.4,1697.0,1660.61,1689.66,6359745.0
2023-08-18 08:00:00+00:00,1689.66,1695.94,1677.34,1685.09,4861546.0
2023-08-18 12:00:00+00:00,1685.09,1686.42,1652.06,1660.02,10355763.0
2023-08-18 16:00:00+00:00,1660.02,1677.94,1638.93,1656.89,12499639.0
2023-08-18 20:00:00+00:00,1656.89,1669.16,1655.59,1660.76,5083507.0
2023-08-19 00:00:00+00:00,1660.76,1670.7,1655.57,1658.85,4843956.0
2023-08-19 04:00:00+00:00,1658.85,1662.6,1653.36,1660.3,2843105.0
2023-08-19 08:00:00+00:00,1660.3,1665.04,1658.27,1659.05,2580141.0
2023-08-19 12:00:00+00:00,1659.05,1684.91,1657.12,1682.37,4421722.0
2023-08-19 16:00:00+00:00,1682.37,1695.96,1674.2,1676.4,10359837.0
2023-08-19 20:00:00+00:00,1676.4,1677.37,1662.7,1668.69,7061043.0
2023-08-20 00:00:00+00:00,1668.69,1674.27,1664.02,1667.1,4057099.0
