scenario,config,timeframe,setup,armed_ts,ladder_touch_ts,signal_ts,fill_ts,entry,stop,risk,ladder_touch_ma,ladder_stop_ma,use_time_exit,use_breakeven,req_close_gt10,hit_1,exit_type_1,R_1,exit_ts_1,hit_1.5,exit_type_1.5,R_1.5,exit_ts_1.5,hit_2,exit_type_2,R_2,exit_ts_2,hit_3,exit_type_3,R_3,exit_ts_3
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2025-10-03 00:00:00+00:00,2025-10-03 08:00:00+00:00,120291.12581000001,119569.97419,721.1516200000187,,,False,True,False,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,DL,,,2025-10-03 04:00:00+00:00,2025-10-03 08:00:00+00:00,120291.12581000001,119569.97419,721.1516200000187,,,False,True,False,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2025-10-03 04:00:00+00:00,2025-10-03 08:00:00+00:00,120291.12581000001,119569.97419,721.1516200000187,,,False,True,False,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2025-10-03 04:00:00+00:00,2025-10-03 08:00:00+00:00,120291.12581000001,119569.97419,721.1516200000187,,,False,True,False,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00,False,stop,-1.0,2025-10-03 08:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,PFR,,,2025-10-03 08:00:00+00:00,2025-10-03 12:00:00+00:00,120493.62581000001,119208.17418999999,1285.4516200000216,,,False,True,False,True,target,1.0,2025-10-03 12:00:00+00:00,True,target,1.5,2025-10-03 16:00:00+00:00,True,target,2.0,2025-10-03 16:00:00+00:00,True,target,3.0,2025-10-05 00:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2025-10-04 00:00:00+00:00,2025-10-04 04:00:00+00:00,122311.42581,121626.87418999999,684.5516200000129,,,False,True,False,False,stop,-1.0,2025-10-04 16:00:00+00:00,False,stop,-1.0,2025-10-04 16:00:00+00:00,False,stop,-1.0,2025-10-04 16:00:00+00:00,False,stop,-1.0,2025-10-04 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2025-10-04 08:00:00+00:00,2025-10-04 20:00:00+00:00,121929.52581,121442.37418999999,487.15162000001874,,,False,True,False,True,target,1.0,2025-10-05 00:00:00+00:00,True,target,1.5,2025-10-05 00:00:00+00:00,True,target,2.0,2025-10-05 00:00:00+00:00,True,target,3.0,2025-10-05 00:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2025-10-04 12:00:00+00:00,2025-10-04 20:00:00+00:00,121929.52581,121442.37418999999,487.15162000001874,,,False,True,False,True,target,1.0,2025-10-05 00:00:00+00:00,True,target,1.5,2025-10-05 00:00:00+00:00,True,target,2.0,2025-10-05 00:00:00+00:00,True,target,3.0,2025-10-05 00:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,PFR,,,2025-10-04 16:00:00+00:00,2025-10-04 20:00:00+00:00,121929.52581,121442.37418999999,487.15162000001874,,,False,True,False,True,target,1.0,2025-10-05 00:00:00+00:00,True,target,1.5,2025-10-05 00:00:00+00:00,True,target,2.0,2025-10-05 00:00:00+00:00,True,target,3.0,2025-10-05 00:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2025-10-05 08:00:00+00:00,2025-10-05 20:00:00+00:00,123422.72581,122461.87418999999,960.8516200000158,,,False,True,False,False,stop,-1.0,2025-10-05 20:00:00+00:00,False,stop,-1.0,2025-10-05 20:00:00+00:00,False,stop,-1.0,2025-10-05 20:00:00+00:00,False,stop,-1.0,2025-10-05 20:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,DL,,,2025-10-05 16:00:00+00:00,2025-10-05 20:00:00+00:00,123431.52581,122221.07419,1210.451620000007,,,False,True,False,False,breakeven_stop,0.0,2025-10-06 04:00:00+00:00,True,target,1.5,2025-10-06 12:00:00+00:00,True,target,2.0,2025-10-06 16:00:00+00:00,False,breakeven_stop,0.0,2025-10-07 08:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2025-10-05 16:00:00+00:00,2025-10-05 20:00:00+00:00,123431.52581,122221.07419,1210.451620000007,,,False,True,False,False,breakeven_stop,0.0,2025-10-06 04:00:00+00:00,True,target,1.5,2025-10-06 12:00:00+00:00,True,target,2.0,2025-10-06 16:00:00+00:00,False,breakeven_stop,0.0,2025-10-07 08:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2025-10-05 16:00:00+00:00,2025-10-05 20:00:00+00:00,123431.52581,122221.07419,1210.451620000007,,,False,True,False,False,breakeven_stop,0.0,2025-10-06 04:00:00+00:00,True,target,1.5,2025-10-06 12:00:00+00:00,True,target,2.0,2025-10-06 16:00:00+00:00,False,breakeven_stop,0.0,2025-10-07 08:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2025-10-07 00:00:00+00:00,2025-10-07 12:00:00+00:00,124478.92581,123252.07419,1226.8516200000013,,,False,True,False,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2025-10-07 04:00:00+00:00,2025-10-07 12:00:00+00:00,124478.92581,123252.07419,1226.8516200000013,,,False,True,False,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,PFR,,,2025-10-07 08:00:00+00:00,2025-10-07 12:00:00+00:00,124478.92581,123252.07419,1226.8516200000013,,,False,True,False,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00,False,stop,-1.0,2025-10-07 12:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2025-10-27 20:00:00+00:00,2025-10-28 08:00:00+00:00,114331.52581,113407.87418999999,923.6516200000187,,,False,True,False,True,target,1.0,2025-10-28 12:00:00+00:00,True,target,1.5,2025-10-28 12:00:00+00:00,False,breakeven_stop,0.0,2025-10-28 16:00:00+00:00,False,stop,-1.0,2025-10-28 20:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2025-10-27 20:00:00+00:00,2025-10-28 08:00:00+00:00,114331.52581,113407.87418999999,923.6516200000187,,,False,True,False,True,target,1.0,2025-10-28 12:00:00+00:00,True,target,1.5,2025-10-28 12:00:00+00:00,False,breakeven_stop,0.0,2025-10-28 16:00:00+00:00,False,stop,-1.0,2025-10-28 20:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,PFR,,,2025-10-28 04:00:00+00:00,2025-10-28 08:00:00+00:00,114331.52581,113407.87418999999,923.6516200000187,,,False,True,False,True,target,1.0,2025-10-28 12:00:00+00:00,True,target,1.5,2025-10-28 12:00:00+00:00,False,breakeven_stop,0.0,2025-10-28 16:00:00+00:00,False,stop,-1.0,2025-10-28 20:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,DL,,,2025-11-28 00:00:00+00:00,2025-11-28 04:00:00+00:00,91397.02581,90601.67418999999,795.3516200000158,,,False,True,False,False,breakeven_stop,0.0,2025-11-28 12:00:00+00:00,True,target,1.5,2025-11-28 12:00:00+00:00,True,target,2.0,2025-11-28 12:00:00+00:00,False,stop,-1.0,2025-11-28 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2025-11-28 00:00:00+00:00,2025-11-28 04:00:00+00:00,91397.02581,90601.67418999999,795.3516200000158,,,False,True,False,False,breakeven_stop,0.0,2025-11-28 12:00:00+00:00,True,target,1.5,2025-11-28 12:00:00+00:00,True,target,2.0,2025-11-28 12:00:00+00:00,False,stop,-1.0,2025-11-28 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2025-11-28 04:00:00+00:00,2025-11-28 08:00:00+00:00,91700.42581,90813.77419,886.6516200000042,,,False,True,False,True,target,1.0,2025-11-28 12:00:00+00:00,True,target,1.5,2025-11-28 12:00:00+00:00,False,breakeven_stop,0.0,2025-11-28 16:00:00+00:00,False,stop,-1.0,2025-11-28 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,PFR,,,2025-12-22 20:00:00+00:00,2025-12-23 00:00:00+00:00,88809.52581,87869.87418999999,939.6516200000187,,,False,True,False,False,stop,-1.0,2025-12-23 00:00:00+00:00,False,stop,-1.0,2025-12-23 00:00:00+00:00,False,stop,-1.0,2025-12-23 00:00:00+00:00,False,stop,-1.0,2025-12-23 00:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,PFR,,,2026-01-04 12:00:00+00:00,2026-01-04 16:00:00+00:00,91386.72581,90967.27419,419.4516200000071,,,False,True,False,False,stop,-1.0,2026-01-04 16:00:00+00:00,False,stop,-1.0,2026-01-04 16:00:00+00:00,False,stop,-1.0,2026-01-04 16:00:00+00:00,False,stop,-1.0,2026-01-04 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2026-01-04 12:00:00+00:00,2026-01-04 16:00:00+00:00,91386.72581,90967.27419,419.4516200000071,,,False,True,False,False,stop,-1.0,2026-01-04 16:00:00+00:00,False,stop,-1.0,2026-01-04 16:00:00+00:00,False,stop,-1.0,2026-01-04 16:00:00+00:00,False,stop,-1.0,2026-01-04 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,DL,,,2026-01-04 16:00:00+00:00,2026-01-04 20:00:00+00:00,91434.42581,90802.47419,631.9516200000071,,,False,True,False,True,target,1.0,2026-01-05 00:00:00+00:00,True,target,1.5,2026-01-05 00:00:00+00:00,True,target,2.0,2026-01-05 00:00:00+00:00,True,target,3.0,2026-01-05 00:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2026-01-06 00:00:00+00:00,2026-01-06 12:00:00+00:00,93875.02581,93078.47419,796.5516200000129,,,False,True,False,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2026-01-06 00:00:00+00:00,2026-01-06 12:00:00+00:00,93875.02581,93078.47419,796.5516200000129,,,False,True,False,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2026-01-06 04:00:00+00:00,2026-01-06 12:00:00+00:00,93875.02581,93078.47419,796.5516200000129,,,False,True,False,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00,False,stop,-1.0,2026-01-06 16:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.2,,,2026-01-15 00:00:00+00:00,2026-01-15 08:00:00+00:00,96727.92581,95723.37418999999,1004.5516200000129,,,False,True,False,False,stop,-1.0,2026-01-15 12:00:00+00:00,False,stop,-1.0,2026-01-15 12:00:00+00:00,False,stop,-1.0,2026-01-15 12:00:00+00:00,False,stop,-1.0,2026-01-15 12:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2026-01-15 00:00:00+00:00,2026-01-15 08:00:00+00:00,96727.92581,95723.37418999999,1004.5516200000129,,,False,True,False,False,stop,-1.0,2026-01-15 12:00:00+00:00,False,stop,-1.0,2026-01-15 12:00:00+00:00,False,stop,-1.0,2026-01-15 12:00:00+00:00,False,stop,-1.0,2026-01-15 12:00:00+00:00
CLASSICS_PFR,tx0_be1_c100,4h,8.3,,,2026-01-15 20:00:00+00:00,2026-01-16 08:00:00+00:00,95799.52581,95086.47419,713.0516200000129,,,False,True,False,False,stop,-1.0,2026-01-16 12:00:00+00:00,False,stop,-1.0,2026-01-16 12:00:00+00:00,False,stop,-1.0,2026-01-16 12:00:00+00:00,False,stop,-1.0,2026-01-16 12:00:00+00:00
