timeframe,setup,rr,feature_a,feature_b,bin_a,bin_b,trades,wins,losses,win_rate,win_rate_pct
1h,DL,1.0,ma_gap_pct,dist_to_high_n_pct,3,0,51,33,18,0.6470588235294118,"64,7%"
1h,DL,1.0,ma_gap_pct,dist_to_high_n_pct,3,1,58,24,34,0.41379310344827586,"41,4%"
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,0,0,57,20,37,0.3508771929824561,"35,1%"
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,0,1,49,33,16,0.673469387755102,"67,3%"
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,1,0,69,36,33,0.5217391304347826,"52,2%"
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,1,1,37,21,16,0.5675675675675675,"56,8%"
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,2,1,33,18,15,0.5454545454545454,"54,5%"
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,2,2,51,25,26,0.49019607843137253,49%
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,2,3,41,18,23,0.43902439024390244,"43,9%"
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,3,2,45,24,21,0.5333333333333333,"53,3%"
1h,DL,1.0,ma_gap_pct,dist_to_low_n_pct,3,3,75,36,39,0.48,48%
1h,DL,1.0,ma_gap_pct,vol_z,0,0,43,18,25,0.4186046511627907,"41,9%"
1h,DL,1.0,ma_gap_pct,vol_z,0,1,32,18,14,0.5625,"56,2%"
1h,DL,1.0,ma_gap_pct,vol_z,0,3,33,13,20,0.3939393939393939,"39,4%"
1h,DL,1.0,ma_gap_pct,vol_z,1,1,36,19,17,0.5277777777777778,"52,8%"
1h,DL,1.0,ma_gap_pct,vol_z,1,2,32,18,14,0.5625,"56,2%"
1h,DL,1.0,ma_gap_pct,vol_z,1,3,37,16,21,0.43243243243243246,"43,2%"
1h,DL,1.0,ma_gap_pct,vol_z,2,0,32,14,18,0.4375,"43,8%"
1h,DL,1.0,ma_gap_pct,vol_z,2,1,30,10,20,0.3333333333333333,"33,3%"
1h,DL,1.0,ma_gap_pct,vol_z,2,2,34,17,17,0.5,50%
1h,DL,1.0,ma_gap_pct,vol_z,2,3,38,26,12,0.6842105263157895,"68,4%"
1h,DL,1.0,ma_gap_pct,vol_z,3,0,31,13,18,0.41935483870967744,"41,9%"
1h,DL,1.0,ma_gap_pct,vol_z,3,1,36,15,21,0.4166666666666667,"41,7%"
1h,DL,1.0,ma_gap_pct,vol_z,3,2,41,22,19,0.5365853658536586,"53,7%"
1h,DL,1.0,dist_to_sma80_pct,atr_pct,0,2,43,25,18,0.5813953488372093,"58,1%"
1h,DL,1.0,dist_to_sma80_pct,atr_pct,0,3,62,25,37,0.4032258064516129,"40,3%"
1h,DL,1.0,dist_to_sma80_pct,atr_pct,1,0,54,30,24,0.5555555555555556,"55,6%"
1h,DL,1.0,dist_to_sma80_pct,atr_pct,1,1,39,19,20,0.48717948717948717,"48,7%"
1h,DL,1.0,dist_to_sma80_pct,atr_pct,2,0,54,29,25,0.5370370370370371,"53,7%"
1h,DL,1.0,dist_to_sma80_pct,atr_pct,2,1,41,18,23,0.43902439024390244,"43,9%"
1h,DL,1.0,dist_to_sma80_pct,atr_pct,3,1,35,17,18,0.4857142857142857,"48,6%"
1h,DL,1.0,dist_to_sma80_pct,atr_pct,3,2,46,23,23,0.5,50%
1h,DL,1.0,dist_to_sma80_pct,atr_pct,3,3,38,20,18,0.5263157894736842,"52,6%"
1h,DL,1.0,dist_to_sma80_pct,clv,0,0,64,31,33,0.484375,"48,4%"
1h,DL,1.0,dist_to_sma80_pct,clv,0,1,51,27,24,0.5294117647058824,"52,9%"
1h,DL,1.0,dist_to_sma80_pct,clv,1,0,57,30,27,0.5263157894736842,"52,6%"
1h,DL,1.0,dist_to_sma80_pct,clv,1,1,40,24,16,0.6,60%
1h,DL,1.0,dist_to_sma80_pct,clv,2,2,56,29,27,0.5178571428571429,"51,8%"
1h,DL,1.0,dist_to_sma80_pct,clv,2,3,52,25,27,0.4807692307692308,"48,1%"
1h,DL,1.0,dist_to_sma80_pct,clv,3,2,41,23,18,0.5609756097560976,"56,1%"
1h,DL,1.0,dist_to_sma80_pct,clv,3,3,63,35,28,0.5555555555555556,"55,6%"
1h,DL,1.0,dist_to_sma80_pct,range_pct,0,2,40,18,22,0.45,45%
1h,DL,1.0,dist_to_sma80_pct,range_pct,0,3,49,24,25,0.4897959183673469,49%
1h,DL,1.0,dist_to_sma80_pct,range_pct,1,0,53,30,23,0.5660377358490566,"56,6%"
1h,DL,1.0,dist_to_sma80_pct,range_pct,1,1,34,18,16,0.5294117647058824,"52,9%"
1h,DL,1.0,dist_to_sma80_pct,range_pct,2,0,46,19,27,0.41304347826086957,"41,3%"
1h,DL,1.0,dist_to_sma80_pct,range_pct,2,1,36,18,18,0.5,50%
1h,DL,1.0,dist_to_sma80_pct,range_pct,3,1,35,16,19,0.45714285714285713,"45,7%"
1h,DL,1.0,dist_to_sma80_pct,range_pct,3,2,42,23,19,0.5476190476190477,"54,8%"
1h,DL,1.0,dist_to_sma80_pct,range_pct,3,3,39,24,15,0.6153846153846154,"61,5%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,0,0,36,14,22,0.3888888888888889,"38,9%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,0,2,31,18,13,0.5806451612903226,"58,1%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,0,3,41,18,23,0.43902439024390244,"43,9%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,1,1,43,23,20,0.5348837209302325,"53,5%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,1,2,33,23,10,0.696969696969697,"69,7%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,1,3,32,11,21,0.34375,"34,4%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,2,0,37,16,21,0.43243243243243246,"43,2%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,2,1,30,14,16,0.4666666666666667,"46,7%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,2,2,36,16,20,0.4444444444444444,"44,4%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,2,3,31,19,12,0.6129032258064516,"61,3%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,3,0,36,18,18,0.5,50%
1h,DL,1.0,dist_to_sma80_pct,body_pct,3,1,34,17,17,0.5,50%
1h,DL,1.0,dist_to_sma80_pct,body_pct,3,2,34,22,12,0.6470588235294118,"64,7%"
1h,DL,1.0,dist_to_sma80_pct,body_pct,3,3,31,15,16,0.4838709677419355,"48,4%"
1h,DL,1.0,dist_to_sma80_pct,upper_wick_pct,0,2,36,17,19,0.4722222222222222,"47,2%"
1h,DL,1.0,dist_to_sma80_pct,upper_wick_pct,0,3,58,29,29,0.5,50%
1h,DL,1.0,dist_to_sma80_pct,upper_wick_pct,1,2,45,19,26,0.4222222222222222,"42,2%"
1h,DL,1.0,dist_to_sma80_pct,upper_wick_pct,1,3,50,32,18,0.64,64%
1h,DL,1.0,dist_to_sma80_pct,upper_wick_pct,2,0,53,24,29,0.4528301886792453,"45,3%"
1h,DL,1.0,dist_to_sma80_pct,upper_wick_pct,2,1,41,22,19,0.5365853658536586,"53,7%"
1h,DL,1.0,dist_to_sma80_pct,upper_wick_pct,3,0,49,28,21,0.5714285714285714,"57,1%"
1h,DL,1.0,dist_to_sma80_pct,upper_wick_pct,3,1,46,25,21,0.5434782608695652,"54,3%"
1h,DL,1.0,dist_to_sma80_pct,lower_wick_pct,0,0,60,33,27,0.55,55%
1h,DL,1.0,dist_to_sma80_pct,lower_wick_pct,0,1,41,16,25,0.3902439024390244,39%
1h,DL,1.0,dist_to_sma80_pct,lower_wick_pct,1,0,48,25,23,0.5208333333333334,"52,1%"
1h,DL,1.0,dist_to_sma80_pct,lower_wick_pct,1,1,42,24,18,0.5714285714285714,"57,1%"
1h,DL,1.0,dist_to_sma80_pct,lower_wick_pct,2,2,40,17,23,0.425,"42,5%"
1h,DL,1.0,dist_to_sma80_pct,lower_wick_pct,2,3,55,25,30,0.45454545454545453,"45,5%"
1h,DL,1.0,dist_to_sma80_pct,lower_wick_pct,3,2,43,23,20,0.5348837209302325,"53,5%"
1h,DL,1.0,dist_to_sma80_pct,lower_wick_pct,3,3,53,30,23,0.5660377358490566,"56,6%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,0,0,67,35,32,0.5223880597014925,"52,2%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,1,0,43,22,21,0.5116279069767442,"51,2%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,1,1,44,24,20,0.5454545454545454,"54,5%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,1,2,32,18,14,0.5625,"56,2%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,2,2,48,22,26,0.4583333333333333,"45,8%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,2,3,44,24,20,0.5454545454545454,"54,5%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,3,1,32,14,18,0.4375,"43,8%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,3,2,34,18,16,0.5294117647058824,"52,9%"
1h,DL,1.0,dist_to_sma80_pct,ret_1_pct,3,3,57,32,25,0.5614035087719298,"56,1%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,0,0,44,18,26,0.4090909090909091,"40,9%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,0,3,43,23,20,0.5348837209302325,"53,5%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,1,1,35,15,20,0.42857142857142855,"42,9%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,1,2,41,29,12,0.7073170731707317,"70,7%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,1,3,33,15,18,0.45454545454545453,"45,5%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,2,0,30,19,11,0.6333333333333333,"63,3%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,2,1,40,16,24,0.4,40%
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,2,2,36,16,20,0.4444444444444444,"44,4%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,3,0,36,10,26,0.2777777777777778,"27,8%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,3,1,35,22,13,0.6285714285714286,"62,9%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,3,2,33,23,10,0.696969696969697,"69,7%"
1h,DL,1.0,dist_to_sma80_pct,ret_3_pct,3,3,31,17,14,0.5483870967741935,"54,8%"
1h,DL,1.0,dist_to_sma80_pct,ret_5_pct,0,0,83,43,40,0.5180722891566265,"51,8%"
1h,DL,1.0,dist_to_sma80_pct,ret_5_pct,0,1,33,15,18,0.45454545454545453,"45,5%"
1h,DL,1.0,dist_to_sma80_pct,ret_5_pct,1,0,44,19,25,0.4318181818181818,"43,2%"
1h,DL,1.0,dist_to_sma80_pct,ret_5_pct,1,1,63,38,25,0.6031746031746031,"60,3%"
1h,DL,1.0,dist_to_sma80_pct,ret_5_pct,2,2,62,30,32,0.4838709677419355,"48,4%"
1h,DL,1.0,dist_to_sma80_pct,ret_5_pct,2,3,49,26,23,0.5306122448979592,"53,1%"
1h,DL,1.0,dist_to_sma80_pct,ret_5_pct,3,2,39,18,21,0.46153846153846156,"46,2%"
1h,DL,1.0,dist_to_sma80_pct,ret_5_pct,3,3,73,44,29,0.6027397260273972,"60,3%"
1h,DL,1.0,dist_to_sma80_pct,rsi,0,0,90,40,50,0.4444444444444444,"44,4%"
1h,DL,1.0,dist_to_sma80_pct,rsi,0,1,44,23,21,0.5227272727272727,"52,3%"
1h,DL,1.0,dist_to_sma80_pct,rsi,1,0,45,25,20,0.5555555555555556,"55,6%"
1h,DL,1.0,dist_to_sma80_pct,rsi,1,1,62,34,28,0.5483870967741935,"54,8%"
1h,DL,1.0,dist_to_sma80_pct,rsi,2,2,59,26,33,0.4406779661016949,"44,1%"
1h,DL,1.0,dist_to_sma80_pct,rsi,2,3,59,34,25,0.576271186440678,"57,6%"
1h,DL,1.0,dist_to_sma80_pct,rsi,3,2,55,29,26,0.5272727272727272,"52,7%"
1h,DL,1.0,dist_to_sma80_pct,rsi,3,3,68,37,31,0.5441176470588235,"54,4%"
1h,DL,1.0,dist_to_sma80_pct,pos_in_range_n,0,0,85,35,50,0.4117647058823529,"41,2%"
1h,DL,1.0,dist_to_sma80_pct,pos_in_range_n,0,1,49,28,21,0.5714285714285714,"57,1%"
1h,DL,1.0,dist_to_sma80_pct,pos_in_range_n,1,0,50,22,28,0.44,44%
1h,DL,1.0,dist_to_sma80_pct,pos_in_range_n,1,1,60,39,21,0.65,65%
1h,DL,1.0,dist_to_sma80_pct,pos_in_range_n,2,2,60,30,30,0.5,50%
1h,DL,1.0,dist_to_sma80_pct,pos_in_range_n,2,3,57,27,30,0.47368421052631576,"47,4%"
1h,DL,1.0,dist_to_sma80_pct,pos_in_range_n,3,2,58,26,32,0.4482758620689655,"44,8%"
1h,DL,1.0,dist_to_sma80_pct,pos_in_range_n,3,3,69,42,27,0.6086956521739131,"60,9%"
1h,DL,1.0,dist_to_sma80_pct,dist_to_high_n_pct,0,2,40,20,20,0.5,50%
