timeframe,setup,rr,bucket,trades,wins,losses,win_rate,win_rate_pct
1h,DL,2.0,top20,143,41,99,0.29285714285714287,"29,3%"
1h,DL,2.0,low20,143,52,89,0.36879432624113473,"36,9%"
1h,DL,2.0,top25,179,54,122,0.3068181818181818,"30,7%"
1h,DL,2.0,low25,179,65,112,0.3672316384180791,"36,7%"
1h,DL,2.0,top30,214,69,141,0.32857142857142857,"32,9%"
1h,DL,2.0,low30,214,74,138,0.3490566037735849,"34,9%"
1h,IB,1.0,ALL,314,137,177,0.43630573248407645,"43,6%"
1h,IB,1.0,top10,32,13,19,0.40625,"40,6%"
1h,IB,1.0,low10,32,10,22,0.3125,"31,2%"
1h,IB,1.0,top15,47,21,26,0.44680851063829785,"44,7%"
1h,IB,1.0,low15,47,13,34,0.2765957446808511,"27,7%"
1h,IB,1.0,top20,63,30,33,0.47619047619047616,"47,6%"
1h,IB,1.0,low20,63,23,40,0.36507936507936506,"36,5%"
1h,IB,1.0,top25,79,35,44,0.4430379746835443,"44,3%"
1h,IB,1.0,low25,79,30,49,0.379746835443038,38%
1h,IB,1.0,top30,94,42,52,0.44680851063829785,"44,7%"
1h,IB,1.0,low30,94,36,58,0.3829787234042553,"38,3%"
1h,IB,1.5,ALL,314,111,202,0.3546325878594249,"35,5%"
1h,IB,1.5,top10,32,9,23,0.28125,"28,1%"
1h,IB,1.5,low10,32,8,24,0.25,25%
1h,IB,1.5,top15,47,15,32,0.3191489361702128,"31,9%"
1h,IB,1.5,low15,47,11,36,0.23404255319148937,"23,4%"
1h,IB,1.5,top20,63,24,39,0.38095238095238093,"38,1%"
1h,IB,1.5,low20,63,19,44,0.30158730158730157,"30,2%"
1h,IB,1.5,top25,79,28,51,0.35443037974683544,"35,4%"
1h,IB,1.5,low25,79,21,57,0.2692307692307692,"26,9%"
1h,IB,1.5,top30,94,34,60,0.3617021276595745,"36,2%"
1h,IB,1.5,low30,94,27,66,0.2903225806451613,29%
1h,IB,2.0,ALL,314,90,222,0.28846153846153844,"28,8%"
1h,IB,2.0,top10,32,6,26,0.1875,"18,8%"
1h,IB,2.0,low10,32,6,26,0.1875,"18,8%"
1h,IB,2.0,top15,47,9,37,0.1956521739130435,"19,6%"
1h,IB,2.0,low15,47,9,38,0.19148936170212766,"19,1%"
1h,IB,2.0,top20,63,14,48,0.22580645161290322,"22,6%"
1h,IB,2.0,low20,63,15,48,0.23809523809523808,"23,8%"
1h,IB,2.0,top25,79,18,60,0.23076923076923078,"23,1%"
1h,IB,2.0,low25,79,17,61,0.21794871794871795,"21,8%"
1h,IB,2.0,top30,94,23,70,0.24731182795698925,"24,7%"
1h,IB,2.0,low30,94,22,71,0.23655913978494625,"23,7%"
1h,PFR,1.0,ALL,425,215,208,0.508274231678487,"50,8%"
1h,PFR,1.0,top10,43,22,21,0.5116279069767442,"51,2%"
1h,PFR,1.0,low10,43,27,16,0.627906976744186,"62,8%"
1h,PFR,1.0,top15,64,32,32,0.5,50%
1h,PFR,1.0,low15,64,37,27,0.578125,"57,8%"
1h,PFR,1.0,top20,85,44,41,0.5176470588235295,"51,8%"
1h,PFR,1.0,low20,85,47,38,0.5529411764705883,"55,3%"
1h,PFR,1.0,top25,107,58,49,0.5420560747663551,"54,2%"
1h,PFR,1.0,low25,107,60,47,0.5607476635514018,"56,1%"
1h,PFR,1.0,top30,128,67,61,0.5234375,"52,3%"
1h,PFR,1.0,low30,128,69,59,0.5390625,"53,9%"
1h,PFR,1.5,ALL,425,168,249,0.4028776978417266,"40,3%"
1h,PFR,1.5,top10,43,15,28,0.3488372093023256,"34,9%"
1h,PFR,1.5,low10,43,24,19,0.5581395348837209,"55,8%"
1h,PFR,1.5,top15,64,20,43,0.31746031746031744,"31,7%"
1h,PFR,1.5,low15,64,32,31,0.5079365079365079,"50,8%"
1h,PFR,1.5,top20,85,31,53,0.36904761904761907,"36,9%"
1h,PFR,1.5,low20,85,40,44,0.47619047619047616,"47,6%"
1h,PFR,1.5,top25,107,43,62,0.4095238095238095,41%
1h,PFR,1.5,low25,107,52,54,0.49056603773584906,"49,1%"
1h,PFR,1.5,top30,128,52,74,0.4126984126984127,"41,3%"
1h,PFR,1.5,low30,128,58,69,0.4566929133858268,"45,7%"
1h,PFR,2.0,ALL,425,138,275,0.3341404358353511,"33,4%"
1h,PFR,2.0,top10,43,11,31,0.2619047619047619,"26,2%"
1h,PFR,2.0,low10,43,20,22,0.47619047619047616,"47,6%"
1h,PFR,2.0,top15,64,16,46,0.25806451612903225,"25,8%"
1h,PFR,2.0,low15,64,27,35,0.43548387096774194,"43,5%"
1h,PFR,2.0,top20,85,25,58,0.30120481927710846,"30,1%"
1h,PFR,2.0,low20,85,35,48,0.42168674698795183,"42,2%"
1h,PFR,2.0,top25,107,36,68,0.34615384615384615,"34,6%"
1h,PFR,2.0,low25,107,44,61,0.41904761904761906,"41,9%"
1h,PFR,2.0,top30,128,44,81,0.352,"35,2%"
1h,PFR,2.0,low30,128,50,76,0.3968253968253968,"39,7%"
2h,DL,1.0,ALL,380,177,200,0.46949602122015915,"46,9%"
2h,DL,1.0,top10,38,19,17,0.5277777777777778,"52,8%"
2h,DL,1.0,low10,38,16,21,0.43243243243243246,"43,2%"
2h,DL,1.0,top15,57,26,29,0.4727272727272727,"47,3%"
2h,DL,1.0,low15,57,30,26,0.5357142857142857,"53,6%"
2h,DL,1.0,top20,76,39,35,0.527027027027027,"52,7%"
2h,DL,1.0,low20,76,34,41,0.4533333333333333,"45,3%"
2h,DL,1.0,top25,95,46,47,0.4946236559139785,"49,5%"
2h,DL,1.0,low25,95,42,52,0.44680851063829785,"44,7%"
2h,DL,1.0,top30,114,54,58,0.48214285714285715,"48,2%"
2h,DL,1.0,low30,114,50,63,0.4424778761061947,"44,2%"
2h,DL,1.5,ALL,380,142,231,0.3806970509383378,"38,1%"
2h,DL,1.5,top10,38,15,21,0.4166666666666667,"41,7%"
2h,DL,1.5,low10,38,12,23,0.34285714285714286,"34,3%"
2h,DL,1.5,top15,57,21,34,0.38181818181818183,"38,2%"
2h,DL,1.5,low15,57,23,31,0.42592592592592593,"42,6%"
2h,DL,1.5,top20,76,32,41,0.4383561643835616,"43,8%"
2h,DL,1.5,low20,76,26,47,0.3561643835616438,"35,6%"
2h,DL,1.5,top25,95,39,53,0.42391304347826086,"42,4%"
2h,DL,1.5,low25,95,31,61,0.33695652173913043,"33,7%"
2h,DL,1.5,top30,114,46,65,0.4144144144144144,"41,4%"
2h,DL,1.5,low30,114,37,74,0.3333333333333333,"33,3%"
2h,DL,2.0,ALL,380,118,251,0.31978319783197834,32%
2h,DL,2.0,top10,38,10,25,0.2857142857142857,"28,6%"
2h,DL,2.0,low10,38,11,24,0.3142857142857143,"31,4%"
2h,DL,2.0,top15,57,15,39,0.2777777777777778,"27,8%"
2h,DL,2.0,low15,57,20,34,0.37037037037037035,37%
2h,DL,2.0,top20,76,23,49,0.3194444444444444,"31,9%"
2h,DL,2.0,low20,76,23,50,0.3150684931506849,"31,5%"
2h,DL,2.0,top25,95,30,61,0.32967032967032966,33%
2h,DL,2.0,low25,95,27,65,0.29347826086956524,"29,3%"
2h,DL,2.0,top30,114,37,73,0.33636363636363636,"33,6%"
2h,DL,2.0,low30,114,33,78,0.2972972972972973,"29,7%"
2h,IB,1.0,ALL,200,94,105,0.4723618090452261,"47,2%"
2h,IB,1.0,top10,20,8,11,0.42105263157894735,"42,1%"
2h,IB,1.0,low10,20,7,13,0.35,35%
2h,IB,1.0,top15,30,14,15,0.4827586206896552,"48,3%"
2h,IB,1.0,low15,30,12,18,0.4,40%
2h,IB,1.0,top20,40,21,18,0.5384615384615384,"53,8%"
2h,IB,1.0,low20,40,18,22,0.45,45%
2h,IB,1.0,top25,50,24,25,0.4897959183673469,49%
2h,IB,1.0,low25,50,22,28,0.44,44%
2h,IB,1.0,top30,60,28,31,0.4745762711864407,"47,5%"
2h,IB,1.0,low30,60,26,34,0.43333333333333335,"43,3%"
2h,IB,1.5,ALL,200,64,133,0.3248730964467005,"32,5%"
2h,IB,1.5,top10,20,5,13,0.2777777777777778,"27,8%"
2h,IB,1.5,low10,20,4,16,0.2,20%
2h,IB,1.5,top15,30,9,19,0.32142857142857145,"32,1%"
2h,IB,1.5,low15,30,9,21,0.3,30%
2h,IB,1.5,top20,40,14,24,0.3684210526315789,"36,8%"
2h,IB,1.5,low20,40,15,25,0.375,"37,5%"
2h,IB,1.5,top25,50,16,32,0.3333333333333333,"33,3%"
2h,IB,1.5,low25,50,17,33,0.34,34%
2h,IB,1.5,top30,60,18,40,0.3103448275862069,31%
2h,IB,1.5,low30,60,19,40,0.3220338983050847,"32,2%"
2h,IB,2.0,ALL,200,59,138,0.29949238578680204,"29,9%"
2h,IB,2.0,top10,20,5,13,0.2777777777777778,"27,8%"
2h,IB,2.0,low10,20,3,17,0.15,15%
2h,IB,2.0,top15,30,7,21,0.25,25%
2h,IB,2.0,low15,30,8,22,0.26666666666666666,"26,7%"
2h,IB,2.0,top20,40,12,26,0.3157894736842105,"31,6%"
2h,IB,2.0,low20,40,14,26,0.35,35%
2h,IB,2.0,top25,50,14,34,0.2916666666666667,"29,2%"
2h,IB,2.0,low25,50,16,34,0.32,32%
2h,IB,2.0,top30,60,16,42,0.27586206896551724,"27,6%"
2h,IB,2.0,low30,60,18,41,0.3050847457627119,"30,5%"
2h,PFR,1.0,ALL,224,115,106,0.5203619909502263,52%
2h,PFR,1.0,top10,23,11,11,0.5,50%
2h,PFR,1.0,low10,23,10,13,0.43478260869565216,"43,5%"
2h,PFR,1.0,top15,34,17,15,0.53125,"53,1%"
2h,PFR,1.0,low15,34,17,16,0.5151515151515151,"51,5%"
2h,PFR,1.0,top20,45,26,17,0.6046511627906976,"60,5%"
2h,PFR,1.0,low20,45,23,21,0.5227272727272727,"52,3%"
2h,PFR,1.0,top25,56,31,23,0.5740740740740741,"57,4%"
2h,PFR,1.0,low25,56,26,29,0.4727272727272727,"47,3%"
2h,PFR,1.0,top30,67,37,28,0.5692307692307692,"56,9%"
2h,PFR,1.0,low30,67,31,35,0.4696969696969697,47%
2h,PFR,1.5,ALL,224,97,120,0.4470046082949309,"44,7%"
2h,PFR,1.5,top10,23,9,13,0.4090909090909091,"40,9%"
2h,PFR,1.5,low10,23,7,15,0.3181818181818182,"31,8%"
2h,PFR,1.5,top15,34,14,18,0.4375,"43,8%"
2h,PFR,1.5,low15,34,13,18,0.41935483870967744,"41,9%"
2h,PFR,1.5,top20,45,22,20,0.5238095238095238,"52,4%"
2h,PFR,1.5,low20,45,17,25,0.40476190476190477,"40,5%"
2h,PFR,1.5,top25,56,27,26,0.5094339622641509,"50,9%"
2h,PFR,1.5,low25,56,19,34,0.3584905660377358,"35,8%"
2h,PFR,1.5,top30,67,33,31,0.515625,"51,6%"
2h,PFR,1.5,low30,67,24,40,0.375,"37,5%"
2h,PFR,2.0,ALL,224,78,135,0.36619718309859156,"36,6%"
2h,PFR,2.0,top10,23,5,16,0.23809523809523808,"23,8%"
2h,PFR,2.0,low10,23,7,15,0.3181818181818182,"31,8%"
2h,PFR,2.0,top15,34,9,22,0.2903225806451613,29%
2h,PFR,2.0,low15,34,11,20,0.3548387096774194,"35,5%"
2h,PFR,2.0,top20,45,14,27,0.34146341463414637,"34,1%"
2h,PFR,2.0,low20,45,15,27,0.35714285714285715,"35,7%"
2h,PFR,2.0,top25,56,19,33,0.36538461538461536,"36,5%"
2h,PFR,2.0,low25,56,17,36,0.32075471698113206,"32,1%"
2h,PFR,2.0,top30,67,24,38,0.3870967741935484,"38,7%"
2h,PFR,2.0,low30,67,21,43,0.328125,"32,8%"
4h,DL,1.0,ALL,199,86,113,0.4321608040201005,"43,2%"
4h,DL,1.0,top10,20,9,11,0.45,45%
4h,DL,1.0,low10,20,12,8,0.6,60%
4h,DL,1.0,top15,30,12,18,0.4,40%
4h,DL,1.0,low15,30,14,16,0.4666666666666667,"46,7%"
4h,DL,1.0,top20,40,17,23,0.425,"42,5%"
4h,DL,1.0,low20,40,18,22,0.45,45%
4h,DL,1.0,top25,50,19,31,0.38,38%
