timeframe,setup,slope_strength,bars_since_new_high,pullback_from_new_high_pct,dist_to_sma80_pct,atr_pct,clv,lower_wick_pct,pos_in_range_n,ret_5_pct,vol_z,rr_1.0,rr_1.5,rr_2.0
1h,8.3,163.76250000000073,2,1.1882255831291937,6.971445578590531,0.957680547949951,0.4936434947254521,49.36434947254521,0.8617565055762081,2.906126297253997,0.8805793592228554,loss,loss,loss
1h,8.3,180.52499999999782,3,0.7844951539035065,7.306676784493078,0.9648779351655321,0.7813504823150995,13.129689174705097,0.903740913174875,2.8513561538434873,0.17214934686215375,loss,loss,loss
1h,8.3,95.52500000000146,2,0.9602905957748625,4.584602997958211,1.0937870137940395,0.5489001692047278,54.89001692047278,0.789361702127658,1.625452610986211,-0.2098645279822777,loss,loss,loss
1h,8.3,88.78749999999854,3,0.8903843838218987,4.565208636148962,1.0928226712371707,0.4199066874027982,33.864696734058434,0.7919337189307485,1.7513134851138368,-0.9333697808949962,loss,loss,loss
1h,8.2,44.837500000001455,3,1.270788884103126,0.9381634144601287,0.5030313776209008,0.43058221369161603,43.0582213691616,0.5684807256235803,0.9949450099050461,0.22544924337884784,loss,loss,loss
1h,8.3,44.837500000001455,3,1.270788884103126,0.9381634144601287,0.5030313776209008,0.43058221369161603,43.0582213691616,0.5684807256235803,0.9949450099050461,0.22544924337884784,loss,loss,loss
1h,8.3,70.75,2,0.7758826947397204,1.896255799616434,1.0483982087495716,0.579451180599865,50.414805360561346,0.8070712221655616,2.546168736665111,-0.48623130907973405,win,win,win
1h,8.3,48.3125,4,1.3351564112890946,1.809191406341895,0.5852700224728776,0.3771532184950029,37.71532184950029,0.5552925262089948,-0.5536433690717102,-0.7506734863229005,loss,loss,loss
1h,DL,36.974999999998545,2,0.9953952443350051,1.9930383657662292,0.7378058738670081,0.3742943986105124,37.429439861051236,0.6851358550879062,0.7800793452134025,0.278997236801508,win,loss,loss
1h,8.2,36.974999999998545,2,0.9953952443350051,1.9930383657662292,0.7378058738670081,0.3742943986105124,37.429439861051236,0.6851358550879062,0.7800793452134025,0.278997236801508,win,loss,loss
1h,8.3,36.974999999998545,2,0.9953952443350051,1.9930383657662292,0.7378058738670081,0.3742943986105124,37.429439861051236,0.6851358550879062,0.7800793452134025,0.278997236801508,win,loss,loss
1h,8.3,38.924999999995634,5,0.7127771022040246,2.09197347228301,0.7382260183777395,0.32391523713419795,32.391523713419794,0.7745338305807116,-0.3539577684771422,-0.9199346951069821,win,win,win
1h,8.3,79.3125,2,0.39157282964038964,2.4452115492479156,0.551977178031981,0.8747884940778681,46.86971235194824,0.8708053691275178,0.75949367088608,-0.8560199076453547,loss,loss,loss
1h,8.3,31.725000000002183,4,0.4791136941518397,2.2940709521116163,0.5525669923931118,0.7234299516908013,48.06763285024109,0.8419223394055594,0.2770620443299121,-0.7962322030627584,loss,loss,loss
1h,PFR,18.125000000003638,3,0.4340201019836682,0.14873349539741373,0.2952423947990829,0.7819383259911957,54.40528634361438,0.6325639426076113,0.43408778384805835,0.6243958695681703,win,win,win
1h,8.3,18.125000000003638,3,0.4340201019836682,0.14873349539741373,0.2952423947990829,0.7819383259911957,54.40528634361438,0.6325639426076113,0.43408778384805835,0.6243958695681703,win,win,win
1h,8.2,53.38750000000073,1,0.8676253660521698,1.3547127985650027,0.5162514490120549,0.047311827956978816,4.731182795697881,0.7133597407274009,1.1218631749431829,-0.1746649676621477,loss,loss,loss
