time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1768420800,97221.6,97607.3,97910.7,97157.4,28918324.0,282009323.37744,97221.8,97607.3,97910.7,97157.4
1768424400,97607.3,97515.1,97667.1,97328.5,16039413.0,156374322.01747,97592.6,97515.1,97667.1,97328.5
1768428000,97515.1,96825.5,97536.1,96720.0,21581169.0,209692047.55731,97515.0,96825.5,97536.1,96720.0
1768431600,96825.5,96908.0,97330.2,96805.7,13779019.0,133732704.67735,96834.1,96908.0,97330.2,96805.7
1768435200,96908.0,96613.3,96954.3,96450.0,18067426.0,174661312.33937,96908.0,96613.3,96954.3,96450.0
1768438800,96613.3,96402.0,96939.8,96263.9,17985935.0,173617380.05665,96613.2,96402.0,96939.8,96263.9
1768442400,96402.0,96297.3,96572.0,96046.0,14843809.0,142975275.76996,96400.0,96297.3,96572.0,96046.0
1768446000,96297.3,95942.9,96350.0,95732.9,18205418.0,174813322.30266,96297.2,95942.9,96350.0,95732.9
1768449600,95942.9,96273.4,96342.0,95915.7,12725325.0,122361325.85383,95943.1,96273.4,96342.0,95915.7
1768453200,96273.4,96377.0,96483.6,96190.0,10075020.0,97053856.79158,96273.3,96377.0,96483.6,96190.0
1768456800,96377.0,96195.3,96533.0,96124.3,13263065.0,127769559.94634,96375.1,96195.3,96533.0,96124.3
1768460400,96195.3,96595.1,96718.4,96133.2,13911160.0,134163300.47731,96195.2,96595.1,96718.4,96133.2
1768464000,96595.1,96600.0,96635.1,96243.6,10280091.0,99142643.88792,96599.2,96600.0,96635.1,96243.6
1768467600,96600.0,96993.8,97155.7,96508.1,18886498.0,182887321.97343,96593.0,96993.8,97155.7,96508.1
1768471200,96993.8,96763.2,97020.0,96684.6,13440303.0,130111818.69351,96994.4,96763.2,97020.0,96684.6
1768474800,96763.2,96548.9,96884.3,96538.1,11402711.0,110240381.04088,96763.1,96548.9,96884.3,96538.1
1768478400,96548.9,96931.3,96963.3,96471.3,16713735.0,161594230.72335,96549.0,96931.3,96963.3,96471.3
1768482000,96931.3,96801.1,96988.0,96562.5,20448806.0,197949033.25603,96931.4,96801.1,96988.0,96562.5
1768485600,96801.1,96013.7,97101.7,95550.0,59074511.0,568990375.25517,96801.0,96013.7,97101.7,95550.0
