scenario,config,timeframe,setup,armed_ts,ladder_touch_ts,signal_ts,fill_ts,entry,stop,risk,ladder_touch_ma,ladder_stop_ma,use_time_exit,use_breakeven,req_close_gt10,hit_1,exit_type_1,R_1,exit_ts_1,hit_1.5,exit_type_1.5,R_1.5,exit_ts_1.5,hit_2,exit_type_2,R_2,exit_ts_2,hit_3,exit_type_3,R_3,exit_ts_3
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-11-19 00:00:00+00:00,2020-11-19 08:00:00+00:00,2020-11-19 08:00:00+00:00,2020-11-19 12:00:00+00:00,17783.52581,17307.749190000002,475.7766199999969,15,20,True,True,,False,breakeven_stop,0.0,2020-11-19 20:00:00+00:00,True,target,1.5,2020-11-20 12:00:00+00:00,True,target,2.0,2020-11-20 12:00:00+00:00,False,breakeven_stop,0.0,2020-11-22 08:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-11-19 12:00:00+00:00,2020-11-19 12:00:00+00:00,2020-11-20 00:00:00+00:00,2020-11-20 04:00:00+00:00,18045.02581,17398.42419,646.6016199999976,15,20,True,True,,True,target,1.0,2020-11-20 12:00:00+00:00,False,breakeven_stop,0.0,2020-11-22 08:00:00+00:00,False,breakeven_stop,0.0,2020-11-22 08:00:00+00:00,False,breakeven_stop,0.0,2020-11-26 00:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-11-20 12:00:00+00:00,2020-11-21 12:00:00+00:00,2020-11-21 12:00:00+00:00,2020-11-21 16:00:00+00:00,18872.52581,18276.507523333334,596.0182866666655,10,15,True,True,,False,stop,-1.0,2020-11-22 08:00:00+00:00,False,stop,-1.0,2020-11-22 08:00:00+00:00,False,stop,-1.0,2020-11-22 08:00:00+00:00,False,stop,-1.0,2020-11-22 08:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-11-21 16:00:00+00:00,2020-11-21 20:00:00+00:00,2020-11-21 20:00:00+00:00,2020-11-22 00:00:00+00:00,18776.52581,18411.440856666668,365.0849533333312,10,15,True,True,,False,stop,-1.0,2020-11-22 00:00:00+00:00,False,stop,-1.0,2020-11-22 00:00:00+00:00,False,stop,-1.0,2020-11-22 00:00:00+00:00,False,stop,-1.0,2020-11-22 00:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-12-15 16:00:00+00:00,2020-12-16 00:00:00+00:00,2020-12-16 04:00:00+00:00,2020-12-16 08:00:00+00:00,19474.02581,19229.44919,244.57661999999982,15,20,True,True,,True,target,1.0,2020-12-16 08:00:00+00:00,True,target,1.5,2020-12-16 08:00:00+00:00,True,target,2.0,2020-12-16 12:00:00+00:00,True,target,3.0,2020-12-16 12:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-12-16 08:00:00+00:00,2020-12-16 08:00:00+00:00,2020-12-16 08:00:00+00:00,2020-12-16 12:00:00+00:00,19878.52581,19334.540856666667,543.9849533333327,10,15,True,True,,True,target,1.0,2020-12-16 12:00:00+00:00,True,target,1.5,2020-12-16 12:00:00+00:00,True,target,2.0,2020-12-16 20:00:00+00:00,True,target,3.0,2020-12-16 20:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-12-16 12:00:00+00:00,2020-12-18 12:00:00+00:00,2020-12-18 16:00:00+00:00,2020-12-18 20:00:00+00:00,22847.52581,21948.540856666667,898.9849533333327,10,15,True,True,,True,target,1.0,2020-12-19 16:00:00+00:00,True,target,1.5,2020-12-20 20:00:00+00:00,False,breakeven_stop,0.0,2020-12-21 08:00:00+00:00,True,target,3.0,2020-12-26 12:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-12-18 20:00:00+00:00,2020-12-18 20:00:00+00:00,2020-12-18 20:00:00+00:00,2020-12-19 00:00:00+00:00,23159.52581,22395.840856666666,763.6849533333334,10,15,True,True,,True,target,1.0,2020-12-19 16:00:00+00:00,False,breakeven_stop,0.0,2020-12-20 04:00:00+00:00,False,breakeven_stop,0.0,2020-12-21 08:00:00+00:00,False,stop,-1.0,2020-12-21 08:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-12-19 00:00:00+00:00,2020-12-19 08:00:00+00:00,2020-12-19 08:00:00+00:00,2020-12-19 12:00:00+00:00,23100.02581,22197.14919,902.8766199999991,15,20,True,True,,True,target,1.0,2020-12-19 16:00:00+00:00,False,breakeven_stop,0.0,2020-12-20 04:00:00+00:00,False,stop,-1.0,2020-12-21 12:00:00+00:00,False,stop,-1.0,2020-12-21 12:00:00+00:00
LADDER_ONLY,tx1_be1,4h,MA_LADDER,2020-12-19 12:00:00+00:00,2020-12-19 12:00:00+00:00,2020-12-19 12:00:00+00:00,2020-12-19 16:00:00+00:00,23669.52581,22403.69919,1265.8266199999998,15,20,True,True,,False,stop,-1.0,2020-12-21 08:00:00+00:00,False,stop,-1.0,2020-12-21 08:00:00+00:00,False,stop,-1.0,2020-12-21 08:00:00+00:00,False,stop,-1.0,2020-12-21 08:00:00+00:00
