Symbol,ExitProfile,FilterCfg,Train Trades,Test Trades,Eligible,Train WR 1,Train AvgR 1,Test WR 1,Test AvgR 1,Train WR 1.5,Train AvgR 1.5,Test WR 1.5,Test AvgR 1.5,Train WR 2,Train AvgR 2,Test WR 2,Test AvgR 2,Train WR 3,Train AvgR 3,Test WR 3,Test AvgR 3
SOL_USDT,E10,a0_b0_c1,147,63,False,0.4897959183673469,-0.02040816326530612,0.5079365079365079,0.015873015873015872,0.3673469387755102,-0.08163265306122448,0.3968253968253968,0.014193662069731612,0.32653061224489793,-0.02040816326530612,0.3333333333333333,0.022130170006239548,0.2857142857142857,0.14285714285714285,0.2698412698412698,0.10149524937131892
SOL_USDT,E00,a0_b0_c1,147,63,False,0.4897959183673469,-0.02040816326530612,0.5079365079365079,0.015873015873015872,0.3673469387755102,-0.08163265306122448,0.3968253968253968,-0.007936507936507936,0.32653061224489793,-0.02040816326530612,0.3333333333333333,0.0,0.2857142857142857,0.14285714285714285,0.2698412698412698,0.07936507936507936
SOL_USDT,E01,a1_b0_c1,79,34,False,0.4430379746835443,-0.05063291139240506,0.5,0.11764705882352941,0.31645569620253167,-0.08227848101265822,0.29411764705882354,-0.029411764705882353,0.27848101265822783,-0.10126582278481013,0.3235294117647059,0.058823529411764705,0.20253164556962025,-0.11392405063291139,0.2647058823529412,0.08823529411764706
SOL_USDT,E11,a1_b0_c1,79,34,False,0.4430379746835443,-0.05063291139240506,0.5,0.11764705882352941,0.31645569620253167,-0.08227848101265822,0.29411764705882354,-0.029411764705882353,0.27848101265822783,-0.10126582278481013,0.3235294117647059,0.058823529411764705,0.20253164556962025,-0.11392405063291139,0.2647058823529412,0.08823529411764706
SOL_USDT,E00,a1_b1_c1,72,31,False,0.4861111111111111,-0.027777777777777776,0.5161290322580645,0.03225806451612903,0.3472222222222222,-0.13194444444444445,0.3870967741935484,-0.03225806451612903,0.3055555555555556,-0.08333333333333333,0.3548387096774194,0.06451612903225806,0.2638888888888889,0.05555555555555555,0.22580645161290322,-0.0967741935483871
SOL_USDT,E10,a1_b1_c1,72,31,False,0.4861111111111111,-0.027777777777777776,0.5161290322580645,0.03225806451612903,0.3472222222222222,-0.13194444444444445,0.3870967741935484,-0.03225806451612903,0.3055555555555556,-0.08333333333333333,0.3548387096774194,0.06451612903225806,0.2638888888888889,0.05555555555555555,0.22580645161290322,-0.0967741935483871
SOL_USDT,E00,a1_b0_c1,79,34,False,0.4810126582278481,-0.0379746835443038,0.5294117647058824,0.058823529411764705,0.34177215189873417,-0.14556962025316456,0.38235294117647056,-0.04411764705882353,0.3037974683544304,-0.08860759493670886,0.35294117647058826,0.058823529411764705,0.25316455696202533,0.012658227848101266,0.2647058823529412,0.058823529411764705
SOL_USDT,E10,a1_b0_c1,79,34,False,0.4810126582278481,-0.0379746835443038,0.5294117647058824,0.058823529411764705,0.34177215189873417,-0.14556962025316456,0.38235294117647056,-0.04411764705882353,0.3037974683544304,-0.08860759493670886,0.35294117647058826,0.058823529411764705,0.25316455696202533,0.012658227848101266,0.2647058823529412,0.058823529411764705
SOL_USDT,E01,a1_b1_c1,72,31,False,0.4583333333333333,-0.027777777777777776,0.4838709677419355,0.0967741935483871,0.3194444444444444,-0.0625,0.2903225806451613,-0.04838709677419355,0.2777777777777778,-0.09722222222222222,0.3225806451612903,0.06451612903225806,0.20833333333333334,-0.09722222222222222,0.22580645161290322,-0.03225806451612903
SOL_USDT,E11,a1_b1_c1,72,31,False,0.4583333333333333,-0.027777777777777776,0.4838709677419355,0.0967741935483871,0.3194444444444444,-0.0625,0.2903225806451613,-0.04838709677419355,0.2777777777777778,-0.09722222222222222,0.3225806451612903,0.06451612903225806,0.20833333333333334,-0.09722222222222222,0.22580645161290322,-0.03225806451612903
SOL_USDT,E11,a0_b0_c1,147,63,False,0.42857142857142855,-0.027210884353741496,0.4603174603174603,0.031746031746031744,0.3333333333333333,-0.03741496598639456,0.30158730158730157,-0.049298401422331876,0.2653061224489796,-0.08843537414965986,0.30158730158730157,0.03800318587925542,0.25170068027210885,0.06802721088435375,0.25396825396825395,0.08562223349830304
SOL_USDT,E10,a0_b1_c1,95,41,False,0.4842105263157895,-0.031578947368421054,0.5121951219512195,0.024390243902439025,0.35789473684210527,-0.10526315789473684,0.36585365853658536,-0.05136095828309533,0.30526315789473685,-0.08421052631578947,0.3170731707317073,-0.01477559242943679,0.2736842105263158,0.09473684210526316,0.21951219512195122,-0.08794632413675386
SOL_USDT,E11,a0_b1_c1,95,41,False,0.43157894736842106,-0.042105263157894736,0.43902439024390244,0.024390243902439025,0.3157894736842105,-0.06315789473684211,0.2926829268292683,-0.06355608023431485,0.25263157894736843,-0.12631578947368421,0.2926829268292683,0.009614651473002233,0.22105263157894736,-0.05263157894736842,0.21951219512195122,-0.039165836331875814
SOL_USDT,E01,a0_b0_c1,147,63,False,0.42857142857142855,-0.027210884353741496,0.4603174603174603,0.031746031746031744,0.3333333333333333,-0.03741496598639456,0.30158730158730157,-0.07142857142857142,0.2653061224489796,-0.08843537414965986,0.30158730158730157,0.015873015873015872,0.25170068027210885,0.06802721088435375,0.25396825396825395,0.06349206349206349
SOL_USDT,E00,a0_b1_c1,95,41,False,0.4842105263157895,-0.031578947368421054,0.5121951219512195,0.024390243902439025,0.35789473684210527,-0.10526315789473684,0.36585365853658536,-0.08536585365853659,0.30526315789473685,-0.08421052631578947,0.3170731707317073,-0.04878048780487805,0.2736842105263158,0.09473684210526316,0.21951219512195122,-0.12195121951219512
SOL_USDT,E01,a0_b1_c1,95,41,False,0.43157894736842106,-0.042105263157894736,0.43902439024390244,0.024390243902439025,0.3157894736842105,-0.06315789473684211,0.2926829268292683,-0.0975609756097561,0.25263157894736843,-0.12631578947368421,0.2926829268292683,-0.024390243902439025,0.22105263157894736,-0.05263157894736842,0.21951219512195122,-0.07317073170731707
