timeframe,setup,rr,bucket,trades,wins,losses,win_rate,win_rate_pct
4h,IB,1.5,2,19,3,16,0.15789473684210525,"15,8%"
4h,IB,1.5,3,6,0,6,0.0,0%
4h,IB,1.5,4,4,2,2,0.5,50%
4h,IB,2.0,ALL,105,32,73,0.3047619047619048,"30,5%"
4h,IB,2.0,1,76,28,48,0.3684210526315789,"36,8%"
4h,IB,2.0,2,19,2,17,0.10526315789473684,"10,5%"
4h,IB,2.0,3,6,0,6,0.0,0%
4h,IB,2.0,4,4,2,2,0.5,50%
4h,PFR,1.0,ALL,113,61,52,0.5398230088495575,54%
4h,PFR,1.0,1,93,50,43,0.5376344086021505,"53,8%"
4h,PFR,1.0,2,12,6,6,0.5,50%
4h,PFR,1.0,3,4,3,1,0.75,75%
4h,PFR,1.0,4,4,2,2,0.5,50%
4h,PFR,1.5,ALL,113,49,63,0.4375,"43,8%"
4h,PFR,1.5,1,93,40,52,0.43478260869565216,"43,5%"
4h,PFR,1.5,2,12,4,8,0.3333333333333333,"33,3%"
4h,PFR,1.5,3,4,3,1,0.75,75%
4h,PFR,1.5,4,4,2,2,0.5,50%
4h,PFR,2.0,ALL,113,40,72,0.35714285714285715,"35,7%"
4h,PFR,2.0,1,93,32,60,0.34782608695652173,"34,8%"
4h,PFR,2.0,2,12,4,8,0.3333333333333333,"33,3%"
4h,PFR,2.0,3,4,2,2,0.5,50%
4h,PFR,2.0,4,4,2,2,0.5,50%
